battery,camera,memory,price,processor,screen,title,warranty
5000 mAh Lithium-ion Battery,48MP + 8MP + 2MP + 2MP | 13MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹16,499",Exynos 850 Octa Core Processor,16.51 cm (6.5 inch) HD+ Display,"Samsung Galaxy A21s (Blue, 64 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4000 mAh Lithium-ion Battery,25MP + 5MP + 8MP | 25MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹18,999",Exynos 9610 Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A50 (Black, 64 GB)",Super AMOLED Display
4000 mAh Lithium-ion Battery,13MP + 2MP | 5MP Front Camera,3 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"₹8,999",Qualcomm Snapdragon (SDM439) Octa Core Processor,14.48 cm (5.7 inch) HD+ Display,"Samsung Galaxy M01 (Blue, 32 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
5000 mAh Lithium-ion Battery,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹21,999",MediaTek (MT6768) Octa Core Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A31 (Prism Crush Blue, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹14,851",Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,16.26 cm (6.4 inch) HD+ Display,"Samsung Galaxy M11 (Black, 64 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
5000 mAh Lithium-ion Battery,13MP + 5MP + 2MP | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹14,902",Qualcomm Snapdragon (SDM450-F01) Octa Core Processor,16.26 cm (6.4 inch) HD+ Display,"Samsung Galaxy M11 (Violet, 64 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
5000 mAh Lithium-ion Battery,48MP + 8MP + 5MP + 5MP | 20MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹21,999",MediaTek (MT6768) Octa Core Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A31 (Prism Crush Black, 128 GB)",1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories
4000 mAh Lithium-ion Battery,25MP + 5MP + 8MP | 25MP Front Camera,6 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"₹18,999",Exynos 9610 Processor,16.26 cm (6.4 inch) Full HD+ Display,"Samsung Galaxy A50 (Blue, 64 GB)",Super AMOLED Display
3000 mAh Battery,12MP Rear Camera | 8MP Front Camera,4 GB RAM | 64 GB ROM | Expandable Upto 400 GB,"₹24,999",Exynos 9810 Processor,14.73 cm (5.8 inch) Quad HD+ Display,"Samsung Galaxy S9 (Coral Blue, 64 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,8 GB RAM | 512 GB ROM | Expandable Upto 1 TB,"₹47,999",Qualcomm Snapdragon 855 (SM8150) Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy S10 Lite (Prism Black, 512 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
3100 mAh Lithium-ion Battery,16MP + 12MP | 10MP Front Camera,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹47,300",Exynos 9 9820 Processor,14.73 cm (5.8 inch) Full HD+ Display,"Samsung Galaxy S10e (Prism Black, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Lithium-ion Battery,48MP + 12MP + 5MP | 32MP Front Camera,8 GB RAM | 512 GB ROM | Expandable Upto 1 TB,"₹47,999",Qualcomm Snapdragon 855 (SM8150) Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy S10 Lite (Prism Blue, 512 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
4500 mAh Lithium Ion Battery,64MP + 5MP + 8MP | 32MP Front Camera,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"₹28,000",Qualcomm SM6150 Processor,17.02 cm (6.7 inch) Full HD+ Display,"Samsung Galaxy A70s (Prism Crush White, 128 GB)",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories
